[22519 ms] 201311251734059_CreateDatabase.
[17678 ms] 201707311527250_AddMetaData.
[ 3294 ms] 201903202308416_ScheduledTransactionHistory.
[  546 ms] 201903281945210_FixBirthDay.
[  538 ms] 201904051646207_UpdateSiteAndLayoutWithMobileColumns.
[  332 ms] 201904081825224_AssetManagerInHtmlEditor.
[  390 ms] 201904092249258_Rollup_0409.
[  539 ms] 201904231856504_Rollup_0423.
[  535 ms] 201904241838299_SmsActions.
[  439 ms] 201904252048025_ContentChannelSlugs.
[  503 ms] 201904291735560_AttendanceLabelData.
[  341 ms] 201904291843444_AddEnableGroupTagToGroupType.
[  418 ms] 201904292230042_AttendanceData.
[  425 ms] 201905081642588_AddIsActiveToPersonalDevice.
[ 2573 ms] 201905081957016_GroupScheduling.
[  508 ms] 201905082317243_Rollup_0508.
[  498 ms] 201905142021095_AddDescriptionToRegistrationTemplate1.
[25714 ms] 201905150435321_Assessments.
[  373 ms] 201905291549561_UpdateSubjectLength.
[  763 ms] 201905291554185_Assessments2.
[  486 ms] 201905291556006_UpdateMaxRegistrantsToNull.
[ 2840 ms] 201905291845488_Assessments3.
[  867 ms] 201905300056053_GroupSchedulingUpdates.
[  480 ms] 201906032320193_AssessmentBadges.
[ 2723 ms] 201906051958565_Rollup_0605.
[  415 ms] 201906060208084_UpdateGroupScheduleSystemEmails.
[  871 ms] 201906192243232_Rollup_0618.
[  436 ms] 201906201538380_Assessments4.
[  524 ms] 201906202222262_Rollup_0620.
[  487 ms] 201906242102336_Rollup_0624.
[  759 ms] 201907082136571_Rollup0708.
[ 1157 ms] 201907112025023_CampusStatus.
[ 5853 ms] 201907121243241_Steps.
[ 2605 ms] 201907121351110_Sequences.
[ 1472 ms] 201907170045527_AddMobileAppPagesAndBlocks.
WARNING: Caution: Changing any part of an object name could break scripts and stored procedures.
[  868 ms] 201907182111279_Badges.
[  441 ms] 201907182149578_ExcludeDuplicateRecipientAddress.
[  422 ms] 201907210126170_AddPrimaryCampusToPerson.
[  553 ms] 201907221916037_ValueAsNumeric.
[  649 ms] 201907231834153_BadgeContext.
[ 7000 ms] 201907241959453_Rollup_0724.
[  603 ms] 201907251802371_PersonSearchKeyIndex.
[  402 ms] 201907261619498_FixSpiritualGiftsAssessmentBadge.
WARNING: Caution: Changing any part of an object name could break scripts and stored procedures.
Caution: Changing any part of an object name could break scripts and stored procedures.
WARNING: Caution: Changing any part of an object name could break scripts and stored procedures.
[ 1605 ms] 201907291225564_Streaks.
[  417 ms] 201907311659067_RemoveDefaultLegacySupportLevelOption.
[  375 ms] 201908010037500_UpdateSchedulesEffectiveEndDate.
[  455 ms] 201908010914511_AddDocumentModel.
[  396 ms] 201908022221135_AddRSVPModel.
[  478 ms] 201908061655121_MenuShift.
[ 3862 ms] 201908062250316_Rollup_08061.
[  979 ms] 201908081906152_StepBulkEntry.
[  460 ms] 201908131528200_SameSiteGlobalAttribute.
[  670 ms] 201908140905026_AddIconToPage.
[  830 ms] 201908141043495_AddWeekendServicesCheckin.
[  580 ms] 201908141547094_AddStepsDefaultData.
[ 1067 ms] 201908142039514_BadgeNamespace.
[  698 ms] 201908192217249_PersistedDataset.
[  476 ms] 201908192242102_PersonAddEditSMSAuth.
[  431 ms] 201908201823142_PersistedDatasetEnabledLavaCommands.
[ 5195 ms] 201908202115162_Rollup_0820.
[  904 ms] 201908291322025_JWT.
[ 5933 ms] 201909041733385_Rollup_0904.
[  813 ms] 201909042004344_NamelessPerson.
[  639 ms] 201909052147516_AddRsvpPages.
[  597 ms] 201909101819574_FixMotivatorAttributeQualifiers.
[  558 ms] 201909111943191_GroupDemographics.
[  603 ms] 201909130014181_AddNewContentChannelNavigationSetting.
[ 6678 ms] 201909171730424_Rollup_0917.
